model,category,n_pairs,agreement_rate,macro_f1,f1_true,f1_false,f1_ambiguous
anthropic__claude-sonnet-4-6,biometric_data,7,0.5714,0.3833,0.0,0.75,0.4
anthropic__claude-sonnet-4-6,health_data,7,0.8571,0.3077,0.0,0.9231,0.0
anthropic__claude-sonnet-4-6,physiological_data,7,0.8571,0.3077,0.0,0.9231,0.0
anthropic__claude-sonnet-4-6,physical_data,7,0.5714,0.4167,0.75,0.5,0.0
anthropic__claude-sonnet-4-6,behavioral_data,7,0.8571,0.8857,0.8571,0.8,1.0
deepseek__deepseek-r1,biometric_data,7,0.4286,0.2,0.0,0.6,0.0
deepseek__deepseek-r1,health_data,7,0.8571,0.3077,0.0,0.9231,0.0
deepseek__deepseek-r1,physiological_data,7,0.8571,0.3077,0.0,0.9231,0.0
deepseek__deepseek-r1,physical_data,7,0.5714,0.4167,0.75,0.5,0.0
deepseek__deepseek-r1,behavioral_data,7,0.7143,0.5079,0.8571,0.6667,0.0
google__gemini-3-1-flash-lite-preview,biometric_data,7,0.5714,0.4722,0.6667,0.75,0.0
google__gemini-3-1-flash-lite-preview,health_data,7,0.8571,0.3077,0.0,0.9231,0.0
google__gemini-3-1-flash-lite-preview,physiological_data,7,0.2857,0.2063,0.0,0.2857,0.3333
google__gemini-3-1-flash-lite-preview,physical_data,7,0.7143,0.6944,0.75,0.6667,0.6667
google__gemini-3-1-flash-lite-preview,behavioral_data,7,0.5714,0.4167,0.75,0.5,0.0
google__gemini-3-1-pro-preview,biometric_data,7,0.4286,0.2,0.0,0.6,0.0
google__gemini-3-1-pro-preview,health_data,7,0.8571,0.3077,0.0,0.9231,0.0
google__gemini-3-1-pro-preview,physiological_data,7,0.8571,0.3077,0.0,0.9231,0.0
google__gemini-3-1-pro-preview,physical_data,7,0.5714,0.4167,0.75,0.5,0.0
google__gemini-3-1-pro-preview,behavioral_data,7,0.8571,0.8857,0.8571,0.8,1.0
openai__gpt-5-4,biometric_data,7,0.4286,0.2,0.0,0.6,0.0
openai__gpt-5-4,health_data,7,0.8571,0.3077,0.0,0.9231,0.0
openai__gpt-5-4,physiological_data,7,0.8571,0.3077,0.0,0.9231,0.0
openai__gpt-5-4,physical_data,7,0.7143,0.6746,0.8571,0.6667,0.5
openai__gpt-5-4,behavioral_data,7,0.7143,0.6667,1.0,0.5,0.5
openai__gpt-5-4-mini,biometric_data,7,0.4286,0.2,0.0,0.6,0.0
openai__gpt-5-4-mini,health_data,7,0.8571,0.3077,0.0,0.9231,0.0
openai__gpt-5-4-mini,physiological_data,7,0.7143,0.2778,0.0,0.8333,0.0
openai__gpt-5-4-mini,physical_data,7,0.5714,0.4167,0.75,0.5,0.0
openai__gpt-5-4-mini,behavioral_data,7,0.7143,0.5167,0.75,0.8,0.0
qwen__qwen3-5-397b-a17b,biometric_data,7,0.4286,0.2,0.0,0.6,0.0
qwen__qwen3-5-397b-a17b,health_data,7,1.0,0.6667,0.0,1.0,1.0
qwen__qwen3-5-397b-a17b,physiological_data,7,1.0,0.6667,0.0,1.0,1.0
qwen__qwen3-5-397b-a17b,physical_data,7,0.7143,0.6944,0.75,0.6667,0.6667
qwen__qwen3-5-397b-a17b,behavioral_data,7,0.7143,0.6667,1.0,0.5,0.5
qwen__qwen3-8b,biometric_data,7,0.4286,0.2,0.0,0.6,0.0
qwen__qwen3-8b,health_data,7,0.8571,0.3077,0.0,0.9231,0.0
qwen__qwen3-8b,physiological_data,7,0.8571,0.3077,0.0,0.9231,0.0
qwen__qwen3-8b,physical_data,7,0.2857,0.1481,0.0,0.4444,0.0
qwen__qwen3-8b,behavioral_data,7,0.2857,0.1667,0.5,0.0,0.0
