model,field,n_pairs,agreement_rate,macro_f1,f1_true,f1_not_true
anthropic__claude-opus-4-6,collected.detected,20,0.7,0.697,0.7273,0.6667
anthropic__claude-opus-4-6,stored.detected,20,0.65,0.6419,0.5882,0.6957
anthropic__claude-opus-4-6,shared.detected,20,0.65,0.6419,0.5882,0.6957
anthropic__claude-opus-4-6,shared.third_country_sharing,20,0.65,0.3939,0.0,0.7879
anthropic__claude-opus-4-6,retention_policy.deletion,20,0.6,0.5604,0.4286,0.6923
anthropic__claude-opus-4-6,retention_policy.inactivity,20,0.9,0.4737,0.0,0.9474
anthropic__claude-opus-4-6,data_minimization.adequate,20,0.85,0.6571,0.4,0.9143
anthropic__claude-sonnet-4-6,collected.detected,20,0.65,0.6491,0.6667,0.6316
anthropic__claude-sonnet-4-6,stored.detected,20,0.6,0.596,0.5556,0.6364
anthropic__claude-sonnet-4-6,shared.detected,20,0.6,0.5833,0.5,0.6667
anthropic__claude-sonnet-4-6,shared.third_country_sharing,20,0.75,0.4286,0.0,0.8571
anthropic__claude-sonnet-4-6,retention_policy.deletion,20,0.5,0.4048,0.1667,0.6429
anthropic__claude-sonnet-4-6,retention_policy.inactivity,20,0.85,0.4595,0.0,0.9189
anthropic__claude-sonnet-4-6,data_minimization.adequate,20,0.8,0.4444,0.0,0.8889
deepseek__deepseek-r1,collected.detected,20,0.65,0.6491,0.6667,0.6316
deepseek__deepseek-r1,stored.detected,20,0.6,0.596,0.5556,0.6364
deepseek__deepseek-r1,shared.detected,20,0.6,0.5833,0.5,0.6667
deepseek__deepseek-r1,shared.third_country_sharing,20,0.7,0.4118,0.0,0.8235
deepseek__deepseek-r1,retention_policy.deletion,20,0.6,0.5238,0.3333,0.7143
deepseek__deepseek-r1,retention_policy.inactivity,20,1.0,1.0,1.0,1.0
deepseek__deepseek-r1,data_minimization.adequate,20,0.8,0.4444,0.0,0.8889
deepseek__deepseek-v3-2,collected.detected,20,0.6,0.6,0.6,0.6
deepseek__deepseek-v3-2,stored.detected,20,0.55,0.52,0.4,0.64
deepseek__deepseek-v3-2,shared.detected,20,0.6,0.5604,0.4286,0.6923
deepseek__deepseek-v3-2,shared.third_country_sharing,20,0.8,0.4444,0.0,0.8889
deepseek__deepseek-v3-2,retention_policy.deletion,20,0.5,0.4048,0.1667,0.6429
deepseek__deepseek-v3-2,retention_policy.inactivity,20,0.9,0.4737,0.0,0.9474
deepseek__deepseek-v3-2,data_minimization.adequate,20,0.8,0.4444,0.0,0.8889
google__gemini-3-1-flash-lite-preview,collected.detected,20,0.85,0.8291,0.8889,0.7692
google__gemini-3-1-flash-lite-preview,stored.detected,20,0.6,0.596,0.5556,0.6364
google__gemini-3-1-flash-lite-preview,shared.detected,20,0.65,0.6491,0.6316,0.6667
google__gemini-3-1-flash-lite-preview,shared.third_country_sharing,20,0.75,0.4286,0.0,0.8571
google__gemini-3-1-flash-lite-preview,retention_policy.deletion,20,0.7,0.7,0.7,0.7
google__gemini-3-1-flash-lite-preview,retention_policy.inactivity,20,0.9,0.4737,0.0,0.9474
google__gemini-3-1-flash-lite-preview,data_minimization.adequate,20,0.75,0.4286,0.0,0.8571
google__gemini-3-1-pro-preview,collected.detected,20,0.7,0.697,0.7273,0.6667
google__gemini-3-1-pro-preview,stored.detected,20,0.6,0.6,0.6,0.6
google__gemini-3-1-pro-preview,shared.detected,20,0.6,0.5833,0.5,0.6667
google__gemini-3-1-pro-preview,shared.third_country_sharing,20,0.65,0.3939,0.0,0.7879
